time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
73065,-1.26,-0.13,-0.05,0.03,-0.11,-0.07
73066,-1.05,0.08,-0.26,0.13,-0.21,-0.17
73067,-1.26,-0.02,0.05,-0.08,-0.00,-0.07
73068,-1.26,-0.13,-0.05,0.13,-0.00,-0.07
73069,-1.16,0.08,-0.16,-0.08,-0.00,0.04
73233,-1.16,0.08,-0.26,0.03,-0.00,-0.07
73234,-1.36,-0.13,-0.05,-0.18,-0.11,-0.17
73235,-1.16,-0.13,-0.05,0.03,-0.11,-0.07
73236,-1.16,0.19,-0.26,0.03,0.10,-0.07
73237,-1.26,-0.02,0.05,-0.08,-0.11,-0.17
73238,-1.26,-0.13,-0.05,0.03,-0.11,-0.07
73239,-1.36,-0.02,-0.47,0.03,-0.00,-0.07
73240,-1.16,-0.13,0.05,0.03,-0.11,-0.07
73241,-1.26,-0.02,0.05,0.03,-0.11,-0.17
73242,-1.16,-0.02,-0.47,-0.08,-0.00,-0.07
73243,-1.16,-0.13,0.16,-0.08,-0.11,-0.07
73244,-1.26,-0.02,0.05,0.03,-0.11,-0.28
73245,-1.26,0.08,-0.26,0.03,-0.11,-0.07
73246,-1.16,-0.13,0.05,0.03,-0.00,0.04
73247,-1.36,0.08,-0.05,0.13,-0.00,-0.07
73248,-1.16,0.08,-0.16,0.03,-0.11,-0.07
73249,-1.16,-0.13,-0.05,-0.08,-0.21,-0.17
73250,-1.36,-0.02,0.05,0.03,-0.11,0.04
73251,-1.05,0.08,-0.16,0.03,-0.21,-0.07
73252,-1.26,-0.23,-0.05,0.03,-0.11,-0.17
73253,-1.16,-0.02,0.16,0.03,-0.00,-0.07
73254,-1.16,-0.13,-0.26,0.03,-0.00,-0.07
73255,-1.47,-0.13,-0.16,0.03,-0.00,-0.07
73256,-1.26,-0.13,0.16,0.13,-0.00,-0.17
73257,-1.16,-0.02,-0.36,0.03,-0.11,-0.07
73258,-1.47,0.08,-0.05,-0.08,-0.11,-0.07
73259,-1.26,-0.02,-0.05,-0.08,-0.11,0.04
73260,-0.95,-0.02,-0.26,-0.08,-0.11,-0.07
73261,-1.47,0.08,-0.05,0.13,-0.00,-0.07
73262,-1.36,0.08,0.05,0.13,-0.11,-0.07
73263,-0.95,-0.13,-0.16,-0.08,-0.00,-0.07
73264,-1.57,-0.02,-0.16,0.03,-0.11,0.04
73265,-1.16,-0.02,0.05,0.03,-0.00,-0.07
73266,-1.05,-0.23,-0.16,0.03,-0.11,-0.07
73267,-1.47,0.08,-0.16,-0.08,-0.11,-0.17
73268,-1.26,-0.13,0.05,0.03,-0.00,-0.07
73269,-1.26,-0.02,-0.16,-0.08,-0.11,-0.07
73270,-1.47,0.08,-0.16,0.03,-0.11,-0.07
73271,-1.05,-0.13,-0.05,0.03,-0.00,-0.07
73272,-1.16,-0.13,-0.05,0.03,-0.11,0.04
73273,-1.36,0.29,-0.05,-0.08,-0.11,-0.07
73274,-0.95,-0.13,-0.05,0.13,-0.11,0.04
73275,-1.26,-0.13,0.05,0.03,-0.00,-0.17
73276,-1.36,0.19,-0.16,0.03,0.10,-0.07
73277,-1.05,-0.02,0.05,0.03,-0.11,0.04
73278,-1.47,-0.13,0.05,0.03,-0.11,-0.07
73279,-1.16,-0.02,-0.26,0.03,-0.00,-0.07
73280,-1.05,-0.02,0.05,0.03,-0.11,-0.07
73281,-1.36,-0.02,0.16,-0.08,-0.11,-0.07
73282,-1.26,0.08,-0.36,0.03,-0.11,0.04
73283,-1.05,0.08,-0.05,0.03,-0.11,-0.07
73284,-1.36,-0.02,0.05,-0.08,-0.11,-0.07
73285,-1.16,-0.02,-0.16,0.03,-0.11,-0.07
73286,-1.05,-0.02,-0.05,-0.08,-0.21,-0.07
73287,-1.36,-0.02,0.26,-0.08,-0.11,-0.17
73288,-1.16,-0.02,-0.16,0.03,-0.00,0.04
73289,-1.16,-0.02,-0.16,0.03,-0.11,-0.07
73290,-1.26,-0.02,-0.05,-0.18,-0.11,0.04
73291,-1.26,0.08,-0.05,0.03,-0.11,-0.07
73292,-1.26,0.08,-0.16,0.03,-0.11,-0.07
73293,-1.36,-0.13,0.05,0.03,-0.21,-0.07
73294,-1.26,-0.02,-0.05,-0.08,-0.00,-0.07
